Player,Country,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100,50,0,4s,6s
TG Southee ,NZ,8,11,0,79,30,7.18,172,45.93,0,0,3,7,2
TK Musakanda ,ZIM,2,4,0,65,43,16.25,144,45.13,0,0,1,7,1
TM Head ,AUS,7,10,1,425,152,47.22,547,77.69,2,1,0,51,5
TS Chisoro ,ZIM,2,4,0,18,9,4.5,47,38.29,0,0,1,4,0
TWM Latham ,NZ,9,16,1,573,252,38.2,1290,44.41,1,2,1,66,2
UT Khawaja ,AUS,5,9,3,751,160,125.16,1457,51.54,4,2,0,76,4
UT Yadav ,INDIA,4,6,3,49,25,16.33,103,47.57,0,0,1,2,3
V Kohli ,INDIA,10,18,0,553,79,30.72,1328,41.64,0,3,2,65,2
V Permaul ,WI,3,4,1,47,26*,15.66,152,30.92,0,0,0,4,0
VM Nyauchi ,ZIM,1,2,0,10,10,5,61,16.39,0,0,1,2,0
WA Young ,NZ,7,12,0,391,89,32.58,968,40.39,0,5,1,52,0
WER Somerville ,NZ,2,4,0,43,36,10.75,195,22.05,0,0,1,5,0
WP Saha ,INDIA,2,4,1,102,61*,34,212,48.11,0,1,0,9,2
Yasir Ali ,BAN,3,5,1,123,55,30.75,280,43.92,0,1,0,15,0
Yasir Shah ,PAK,1,2,0,4,4,2,22,18.18,0,0,1,0,0
Z Crawley ,ENG,9,18,0,404,121,22.44,773,52.26,1,1,2,58,0
Zubayr Hamza ,SA,1,2,0,31,25,15.5,106,29.24,0,0,0,4,0
